slug,title,category,provided_fields,found_count,found_paths,guessed_paths,needs_attention
nina-and-the-night-sky,Nina and the night sky,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\nina-and-the-night-sky_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\nina-and-the-night-sky_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\nina-and-the-night-sky_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\nina-and-the-night-sky_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\nina-and-the-night-sky_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\nina-and-the-night-sky_3.png,OK
ruby-and-the-glow-worms,ruby and the glow worms,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\ruby-and-the-glow-worms_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\ruby-and-the-glow-worms_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\ruby-and-the-glow-worms_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\ruby-and-the-glow-worms_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\ruby-and-the-glow-worms_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\ruby-and-the-glow-worms_3.png,OK
sophie-and-the-gentle-giant,sophie and the gentle giant,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\sophie-and-the-gentle-giant_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\sophie-and-the-gentle-giant_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\sophie-and-the-gentle-giant_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\sophie-and-the-gentle-giant_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\sophie-and-the-gentle-giant_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\sophie-and-the-gentle-giant_3.png,OK
the-balloon-that-knew-the-way,the balloon that knew the way,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-balloon-that-knew-the-way_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-balloon-that-knew-the-way_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-balloon-that-knew-the-way_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-balloon-that-knew-the-way_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-balloon-that-knew-the-way_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-balloon-that-knew-the-way_3.png,OK
the-bee-and-the-birthday-wish,the bee and the birthday wish,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bee-and-the-birthday-wish_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bee-and-the-birthday-wish_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bee-and-the-birthday-wish_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bee-and-the-birthday-wish_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bee-and-the-birthday-wish_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bee-and-the-birthday-wish_3.png,OK
the-bee-and-the-sunflower,the bee and the sunflower,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bee-and-the-sunflower_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bee-and-the-sunflower_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bee-and-the-sunflower_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bee-and-the-sunflower_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bee-and-the-sunflower_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bee-and-the-sunflower_3.png,OK
the-boy-who-could-speak-colors,the boy who could speak colors,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-could-speak-colors_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-could-speak-colors_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-could-speak-colors_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-could-speak-colors_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-could-speak-colors_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-could-speak-colors_3.png,OK
the-boy-who-danced-with-fireflies,the boy who danced with fireflies,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-danced-with-fireflies_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-danced-with-fireflies_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-danced-with-fireflies_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-danced-with-fireflies_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-danced-with-fireflies_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-danced-with-fireflies_3.png,OK
the-dragon-who-found-his-fire,The Dragon Who Found His Fire,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-dragon-who-found-his-fire_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-dragon-who-found-his-fire_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-dragon-who-found-his-fire_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-dragon-who-found-his-fire_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-dragon-who-found-his-fire_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-dragon-who-found-his-fire_3.png,OK
the-flying-elephant,The Flying Elephant,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-flying-elephant_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-flying-elephant_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-flying-elephant_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-flying-elephant_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-flying-elephant_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-flying-elephant_3.png,OK
the-girl-and-the-magic-mirror,The Girl and the Magic Mirror,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-and-the-magic-mirror_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-and-the-magic-mirror_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-and-the-magic-mirror_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-and-the-magic-mirror_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-and-the-magic-mirror_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-and-the-magic-mirror_3.png,OK
the-girl-and-the-magic-violin,The Girl and the Magic Violin,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-and-the-magic-violin_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-and-the-magic-violin_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-and-the-magic-violin_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-and-the-magic-violin_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-and-the-magic-violin_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-and-the-magic-violin_3.png,OK
the-girl-who-bottled-sunshine,The Girl Who Bottled Sunshine,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-bottled-sunshine_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-bottled-sunshine_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-bottled-sunshine_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-bottled-sunshine_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-bottled-sunshine_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-bottled-sunshine_3.png,OK
the-girl-who-collected-raindrops,The Girl Who Collected Raindrops,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-collected-raindrops_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-collected-raindrops_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-collected-raindrops_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-collected-raindrops_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-collected-raindrops_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-collected-raindrops_3.png,OK
the-girl-who-painted-music,The Girl Who Painted Music,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-painted-music_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-painted-music_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-painted-music_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-painted-music_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-painted-music_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-painted-music_3.png,OK
the-girl-who-painted-stars,The Girl Who Painted Stars,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-painted-stars_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-painted-stars_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-painted-stars_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-painted-stars_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-painted-stars_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-painted-stars_3.png,OK
the-girl-who-read-by-moonlight,The Girl Who Read by Moonlight,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-read-by-moonlight_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-read-by-moonlight_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-read-by-moonlight_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-read-by-moonlight_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-read-by-moonlight_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-read-by-moonlight_3.png,OK
the-girl-who-spoke-to-dreams,The Girl Who Spoke to Dreams,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-spoke-to-dreams_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-spoke-to-dreams_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-spoke-to-dreams_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-spoke-to-dreams_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-spoke-to-dreams_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-spoke-to-dreams_3.png,OK
the-hidden-door,The Hidden Door,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-hidden-door_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-hidden-door_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-hidden-door_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-hidden-door_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-hidden-door_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-hidden-door_3.png,OK
the-invisible-thread,The Invisible Thread,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-invisible-thread_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-invisible-thread_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-invisible-thread_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-invisible-thread_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-invisible-thread_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-invisible-thread_3.png,OK
the-island-of-lost-balloons,The Island of Lost Balloons,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-island-of-lost-balloons_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-island-of-lost-balloons_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-island-of-lost-balloons_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-island-of-lost-balloons_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-island-of-lost-balloons_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-island-of-lost-balloons_3.png,OK
the-lantern-maker-s-secret,The Lantern Maker’s Secret,Bedtime,,0,,,YES
the-lost-button-s-journey,The Lost Button’s Journey,Bedtime,,0,,,YES
the-melody-of-the-moonlight,The Melody of the Moonlight,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-melody-of-the-moonlight_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-melody-of-the-moonlight_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-melody-of-the-moonlight_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-melody-of-the-moonlight_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-melody-of-the-moonlight_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-melody-of-the-moonlight_3.png,OK
the-paper-swan-s-wish,The Paper Swan’s Wish,Bedtime,,0,,,YES
the-sandcastle-king-s-crown,The Sandcastle King’s Crown,Bedtime,,0,,,YES
the-squirrel-s-mischievous-quest,The Squirrel’s Mischievous Quest,Nature,,0,,,YES
the-star-who-felt-lonely,The Star Who Felt Lonely,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-star-who-felt-lonely_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-star-who-felt-lonely_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-star-who-felt-lonely_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-star-who-felt-lonely_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-star-who-felt-lonely_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-star-who-felt-lonely_3.png,OK
the-tale-of-the-talking-teacup,The Tale of the Talking Teacup,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-tale-of-the-talking-teacup_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-tale-of-the-talking-teacup_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-tale-of-the-talking-teacup_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-tale-of-the-talking-teacup_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-tale-of-the-talking-teacup_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-tale-of-the-talking-teacup_3.png,OK
the-tree-that-wrote-poems,The Tree That Wrote Poems,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-tree-that-wrote-poems_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-tree-that-wrote-poems_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-tree-that-wrote-poems_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-tree-that-wrote-poems_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-tree-that-wrote-poems_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-tree-that-wrote-poems_3.png,OK
the-umbrella-that-carried-wishes,The Umbrella That Carried Wishes,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-umbrella-that-carried-wishes_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-umbrella-that-carried-wishes_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-umbrella-that-carried-wishes_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-umbrella-that-carried-wishes_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-umbrella-that-carried-wishes_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-umbrella-that-carried-wishes_3.png,OK
the-umbrella-that-knew-the-weather,The Umbrella That Knew the Weather,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-umbrella-that-knew-the-weather_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-umbrella-that-knew-the-weather_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-umbrella-that-knew-the-weather_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-umbrella-that-knew-the-weather_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-umbrella-that-knew-the-weather_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-umbrella-that-knew-the-weather_3.png,OK
the-whispering-willow-tree,The Whispering Willow Tree,Nature,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-whispering-willow-tree_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-whispering-willow-tree_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-whispering-willow-tree_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-whispering-willow-tree_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-whispering-willow-tree_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-whispering-willow-tree_3.png,OK
the-lion-who-lost-his-roar,The Lion Who Lost His Roar,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-lion-who-lost-his-roar_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-lion-who-lost-his-roar_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-lion-who-lost-his-roar_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-lion-who-lost-his-roar_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-lion-who-lost-his-roar_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-lion-who-lost-his-roar_3.png,OK
the-shoes-that-danced-without-feet,The Shoes That Danced Without Feet,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-shoes-that-danced-without-feet_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-shoes-that-danced-without-feet_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-shoes-that-danced-without-feet_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-shoes-that-danced-without-feet_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-shoes-that-danced-without-feet_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-shoes-that-danced-without-feet_3.png,OK
the-girl-who-found-a-poem-in-the-rain,The Girl Who Found a Poem in the Rain,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-found-a-poem-in-the-rain_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-found-a-poem-in-the-rain_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-found-a-poem-in-the-rain_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-found-a-poem-in-the-rain_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-found-a-poem-in-the-rain_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-found-a-poem-in-the-rain_3.png,OK
the-boy-who-collected-echoes,The Boy Who Collected Echoes,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-collected-echoes_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-collected-echoes_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-collected-echoes_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-collected-echoes_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-collected-echoes_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-boy-who-collected-echoes_3.png,OK
the-girl-who-hugged-the-wind,The Girl Who Hugged the Wind,Nature,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-hugged-the-wind_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-hugged-the-wind_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-hugged-the-wind_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-hugged-the-wind_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-hugged-the-wind_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-hugged-the-wind_3.png,OK
the-bridge-across-the-sun,The Bridge Across the Sun,Nature,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bridge-across-the-sun_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bridge-across-the-sun_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bridge-across-the-sun_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bridge-across-the-sun_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bridge-across-the-sun_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-bridge-across-the-sun_3.png,OK
the-girl-who-turned-shadows-into-light,The Girl Who Turned Shadows Into Light,Bedtime,,3,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-turned-shadows-into-light_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-turned-shadows-into-light_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-turned-shadows-into-light_3.png,C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-turned-shadows-into-light_1.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-turned-shadows-into-light_2.png;C:\Users\Dell Latitude 5420\Documents\belutales\assets\images\the-girl-who-turned-shadows-into-light_3.png,OK
